item_no,question,answer,options,distractor_type,prompt,chosen,rejected
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.","### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.","### Type: Correct knowledge
### Distractor 1: Coding involves writing code in various programming languages."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.","### Type: Correct knowledge
### Distractor 1: Programming is a set of instructions that direct the operation of a computer."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.","### Type: Correct knowledge
### Distractor 1: A good programmer must understand algorithms and data structures."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.","### Type: Correct knowledge
### Distractor 1: A programmer is a person who specializes in programming."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing.","### Type: Correct knowledge
### Distractor 1: Coding involves writing code in various programming languages."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing.","### Type: Correct knowledge
### Distractor 1: Programming is a set of instructions that direct the operation of a computer."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing.","### Type: Correct knowledge
### Distractor 1: A good programmer must understand algorithms and data structures."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing.","### Type: Correct knowledge
### Distractor 1: A programmer is a person who specializes in programming."
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]","### Type: Correct knowledge
### Distractor 1: Coding involves writing code in various programming languages.","### Type: Correct knowledge
### Distractor 1: A good programmer must understand algorithms and data structures."
