item_no,question,answer,options,distractor_type,combination,text
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Coding and programming are synonyms.',)","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Programming includes tasks such as debugging and testing.',)","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Coding involves writing code in various programming languages.',)","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Coding involves writing code in various programming languages.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Programming is a set of instructions that direct the operation of a computer.',)","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Programming is a set of instructions that direct the operation of a computer.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('A good programmer must understand algorithms and data structures.',)","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: A good programmer must understand algorithms and data structures.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('A programmer is a person who specializes in programming.',)","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 1 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: A programmer is a person who specializes in programming.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Programming is a set of instructions that direct the operation of a computer.', 'A good programmer must understand algorithms and data structures.')","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 2 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Programming is a set of instructions that direct the operation of a computer.
### Distractor 2: A good programmer must understand algorithms and data structures.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Programming includes tasks such as debugging and testing.', 'A programmer is a person who specializes in programming.')","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 2 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Programming includes tasks such as debugging and testing.
### Distractor 2: A programmer is a person who specializes in programming.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Coding involves writing code in various programming languages.', 'A good programmer must understand algorithms and data structures.')","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 2 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Coding involves writing code in various programming languages.
### Distractor 2: A good programmer must understand algorithms and data structures.</s>"
1555482,The following is a description of coding and programming. Which item is false?,Coding is working under the instructions of a computer.,"{'Coding involves writing code in various programming languages.': 2.5, 'Programming includes tasks such as debugging and testing.': 3.0, 'A good programmer must understand algorithms and data structures.': 1.0, 'Coding and programming are synonyms.': 5.0, 'Programming is a set of instructions that direct the operation of a computer.': 2.5, 'A programmer is a person who specializes in programming.': 1.0}","### Type: Correct knowledge
","('Coding and programming are synonyms.', 'Programming is a set of instructions that direct the operation of a computer.')","[INST] You are a teacher tasked with creating distractors (plausible wrong options) for a given Multiple Choice Question.
Generate distractors according to the guide below:
1) Distractor type:
- Analyze whether the question asks for a 'correct' or 'incorrect' option.
- If the question asks for a correct option, the distractor type should be ""Incorrect knowledge""; if it asks for an incorrect option, the distractor type should be ""Correct knowledge"".
2) Distractors:
- The distractor should be well-formatted so that it fits naturally when presented together with the question and answer.
- If the distractor type is ""Incorrect knowledge"", the distractor must be an actually incorrect statement; if the distractor type is ""Correct knowledge"", the distractor must be an actually correct statement.

[Question]
The following is a description of coding and programming. Which item is false?

[Answer]
Coding is working under the instructions of a computer.

Generate 2 distractor(s) in the following format:
### Type: 
### Distractor n: [/INST]### Type: Correct knowledge
### Distractor 1: Coding and programming are synonyms.
### Distractor 2: Programming is a set of instructions that direct the operation of a computer.</s>"
